Lv,NeedExp,CustomerNum,RateC,RateUC,RateR,LvUpSus,RateSus,CommonItemPower
1,70,4,50,37.5,12.5,10,0,1
2,250,6,66.68,24.99,8.33,10,4,2
3,750,7,71.44,21.42,7.14,10,4,3
4,2100,7,71.44,21.42,7.14,10,4,4
5,5000,8,75,18.75,6.25,10,4,5
6,10000,8,75,18.75,6.25,10,4,6
7,18000,9,77.76,16.68,5.56,10,4,7
8,35000,9,77.76,16.68,5.56,10,4,8
9,90000,10,80,15,5,10,4,9
10,250000,10,80,15,5,10,4,10
11,700000,11,81.8,13.65,4.55,10,4,11
12,2100000,11,81.8,13.65,4.55,10,4,12
13,3500000,12,77.76,16.68,5.56,10,4,12
14,6000000,12,77.76,16.68,5.56,10,4,12
15,7000000,13,79.48,15.39,5.13,10,4,12
