SceneName,Person1,Person2,Fukidashi,Place,Serif
Hint1,HintMan,None,L,Hint,わたしは ヒント・マン
Hint1,HintMan,None,L,Hint,レベルを あげるほど／おかねは かせぎやすく なる
Hint1,HintMan,None,L,Hint,できるだけ はやく／レベルアップ するのが コツだ
Hint1,HintMan,None,L,Hint,タイム イズ マネー…／それが けいえいしゃ マインド
Hint2,HintMan,None,L,Hint,わたしは ヒント・マン
Hint2,HintMan,None,L,Hint,わかい おきゃく は／にく の しつ も いい
Hint3,HintMan,None,L,Hint,わたしは ヒント・マン
Hint3,HintMan,None,L,Hint,きいろ っぽい おきゃくは／ちょっと おかねもち
Hint3,HintMan,None,L,Hint,そのぶん ちょっと てごわい
Hint3,HintMan,None,L,Hint,けしからんな
Hint4,HintMan,None,L,Hint,わたしは ヒント・マン
Hint4,HintMan,None,L,Hint,どうぶつ の にく は／ひとより カルマが ひくいぞ
Hint4,HintMan,None,L,Hint,それに てなづけ やすい／まさに てんの めぐみだ
Hint4,HintMan,None,L,Hint,しかし おかねは／あまり もっていない
Hint4,HintMan,None,L,Hint,もってる ほうが へんだろう？
Hint5,HintMan,None,L,Hint,わたしは ヒント・マン
Hint5,HintMan,None,L,Hint,おとなは すききらい が はげしい
Hint5,HintMan,None,L,Hint,どうぶつ や こどもは そうでもない／ちょろいぜ
Hint5,HintMan,None,L,Hint,リアル だと／こじんさ が あるけどね
Hint5,HintMan,None,L,Hint,だが こどもは まずしい／おとなは おかねを もっている
Hint5,HintMan,None,L,Hint,これも こじんさ あるかな？
Hint6,HintMan,None,L,Hint,わたしは ヒント・マン
Hint6,HintMan,None,L,Hint,ねんれい や せいべつ は／にくの しつ に かんけいする
Hint6,HintMan,None,L,Hint,いっぱんろん と してな
Hint7,HintMan,None,L,Hint,わたしは ヒント・マン
Hint7,HintMan,None,L,Hint,かせいだ おかね が／けいけんち と なる
Hint7,HintMan,None,L,Hint,つまり おかね と けいけんち は／イコールだ
Hint7,HintMan,None,L,Hint,だが レベルアップのとき だけは ちがう
Hint7,HintMan,None,L,Hint,あふれた けいけんち は／じょうはつ して／どこかに きえてしまう…
Hint7,HintMan,None,L,Hint,ブランデー の ようにな
Hint7,HintMan,None,L,Hint,なにごとも ロマンチックに／かんがえよう
Hint8,HintMan,None,L,Hint,わたしは ヒント・マン
